,acter,title
632,Mark Williams,Harry Potter and the Half-Blood Prince
633,Warwick Davis,Harry Potter and the Half-Blood Prince
634,Natalia Tena,Harry Potter and the Half-Blood Prince
635,Katie Leung,Harry Potter and the Half-Blood Prince
636,Dave Legeno,Harry Potter and the Half-Blood Prince
637,Geraldine Somerville,Harry Potter and the Half-Blood Prince
638,Helen McCrory,Harry Potter and the Half-Blood Prince
639,Freddie Stroma,Harry Potter and the Half-Blood Prince
640,David Bradley,Harry Potter and the Half-Blood Prince
641,Frank Dillane,Harry Potter and the Half-Blood Prince
642,Hero Fiennes-Tiffin,Harry Potter and the Half-Blood Prince
643,Gemma Jones,Harry Potter and the Half-Blood Prince
644,Afshan Azad,Harry Potter and the Half-Blood Prince
645,Shefali Chowdhury,Harry Potter and the Half-Blood Prince
646,Georgina Leonidas,Harry Potter and the Half-Blood Prince
647,Devon Murray,Harry Potter and the Half-Blood Prince
648,Anna Shaffer,Harry Potter and the Half-Blood Prince
649,Josh Herdman,Harry Potter and the Half-Blood Prince
650,Jamie Waylett,Harry Potter and the Half-Blood Prince
651,Scarlett Byrne,Harry Potter and the Half-Blood Prince
652,Jessie Cave,Harry Potter and the Half-Blood Prince
653,Louis Cordice,Harry Potter and the Half-Blood Prince
654,Alfie Enoch,Harry Potter and the Half-Blood Prince
655,Robert Knox,Harry Potter and the Half-Blood Prince
656,William Melling,Harry Potter and the Half-Blood Prince
657,Paul Ritter,Harry Potter and the Half-Blood Prince
658,Isabella Laughland,Harry Potter and the Half-Blood Prince
659,Ralph Ineson,Harry Potter and the Half-Blood Prince
660,Suzanne Toase,Harry Potter and the Half-Blood Prince
661,Rod Hunt,Harry Potter and the Half-Blood Prince
662,Elarica Gallacher,Harry Potter and the Half-Blood Prince
663,Ben Affleck,Batman v Superman: Dawn of Justice
664,Henry Cavill,Batman v Superman: Dawn of Justice
665,Gal Gadot,Batman v Superman: Dawn of Justice
666,Amy Adams,Batman v Superman: Dawn of Justice
667,Jesse Eisenberg,Batman v Superman: Dawn of Justice
668,Diane Lane,Batman v Superman: Dawn of Justice
669,Jeremy Irons,Batman v Superman: Dawn of Justice
670,Laurence Fishburne,Batman v Superman: Dawn of Justice
671,Holly Hunter,Batman v Superman: Dawn of Justice
672,Scoot McNairy,Batman v Superman: Dawn of Justice
673,Callan Mulvey,Batman v Superman: Dawn of Justice
674,Tao Okamoto,Batman v Superman: Dawn of Justice
675,Jena Malone,Batman v Superman: Dawn of Justice
